section,donor,modality,metric,layer_eta_squared,morans_i,spearman_total_umi,spearman_detected_genes,mean,sd,method_label
151509,donor_1,ref_depth,nonzero_features,0.3907404034255566,0.5284774783837152,0.960597921380734,0.9603970967537008,59.86466165413534,31.83731325995237,REF depth
151509,donor_1,alt_depth,nonzero_features,0.4187191324252455,0.5552502009369723,0.970203677312762,0.9695358525452176,129.58020050125313,68.5858135977141,ALT depth
151509,donor_1,projected_expression,nonzero_features,0.4969474328989255,0.6488787378216115,0.9932523290731886,0.9977397482237144,1075.3861737677528,413.8071630661138,Projected expression
151510,donor_1,matched_presence,nonzero_features,0.3487931962574378,0.5140804626679195,0.974581341760456,0.9742159358698969,252.4193688792165,119.080615588599,Matched presence
151510,donor_1,total_depth,nonzero_features,0.3383179193506187,0.4988252292292021,0.9723831790134996,0.9732780446637976,164.2633297062024,81.80538673869837,Total depth
151510,donor_1,ref_depth,nonzero_features,0.3089303562030889,0.4715441778050735,0.9546378316722912,0.9559915933171548,56.45179542981501,29.4393904312503,REF depth
151510,donor_1,alt_depth,nonzero_features,0.3294134977077705,0.4860938395968993,0.9671568144725248,0.9676690135133632,121.59673558215452,63.058937060550505,ALT depth
151510,donor_1,projected_expression,nonzero_features,0.4191967998806414,0.5929090143301106,0.9930118026337826,0.9972676838953,1011.8439608269858,374.2658831331765,Projected expression
151669,donor_2,matched_presence,nonzero_features,0.3837495875020594,0.6232208767166656,0.982590254843974,0.9865523921873974,346.6122112211221,161.5936305522111,Matched presence
151669,donor_2,total_depth,nonzero_features,0.3802439364779979,0.612507887370338,0.9804025380075574,0.98560649041014,225.09598459845984,110.98307522850897,Total depth
151669,donor_2,ref_depth,nonzero_features,0.3827645691843367,0.6018959324980264,0.9697475591200556,0.9745601983467734,81.87431243124313,42.95485119446825,REF depth
151669,donor_2,alt_depth,nonzero_features,0.3759309771060324,0.6021856638678799,0.9771574435524072,0.982131481421012,167.63888888888889,86.61424039653932,ALT depth
151669,donor_2,projected_expression,nonzero_features,0.4105924693590204,0.6816139357788683,0.9918192110725532,0.9981546863226542,1319.2706270627064,481.9950642304453,Projected expression
151670,donor_2,matched_presence,nonzero_features,0.3348333567900165,0.6146385699841497,0.9825210031959704,0.9871399833912908,306.8639494833525,145.16711292542095,Matched presence
151670,donor_2,total_depth,nonzero_features,0.3379459722478818,0.6071225854017117,0.9805631256541388,0.98666071969766,208.31716417910448,104.2503975460708,Total depth
151670,donor_2,ref_depth,nonzero_features,0.3405606908605618,0.5959747934318786,0.9699287739268412,0.9748502272221852,76.00947187141217,39.91740427451408,REF depth
151670,donor_2,alt_depth,nonzero_features,0.3354916665329803,0.5989578149723114,0.977628253260066,0.9835674925966424,154.32146957520092,80.98301042585223,ALT depth
151670,donor_2,projected_expression,nonzero_features,0.375771700556526,0.6752840179129747,0.9924369362683708,0.9981168089160284,1217.7101033295064,470.93613296609,Projected expression
151671,donor_2,matched_presence,nonzero_features,0.4260144298483202,0.6211280827276863,0.975201463722808,0.975187469075649,369.9753237234302,178.48431991996378,Matched presence
151671,donor_2,total_depth,nonzero_features,0.4115156561469698,0.6096360518571906,0.975979944646775,0.9780494078652272,242.52382115807475,121.06840218723188,Total depth
151671,donor_2,ref_depth,nonzero_features,0.3868335662077914,0.585458480577931,0.9694958791835068,0.9715103948006724,89.33764964573662,46.64712117116332,REF depth
151671,donor_2,alt_depth,nonzero_features,0.4029240109901935,0.5990699069466519,0.9723270234293948,0.9736719902078632,180.805032983142,94.26315423770352,ALT depth
151671,donor_2,projected_expression,nonzero_features,0.4865000529315441,0.6921771932477799,0.9908718297319652,0.9978820582474924,1398.698265331053,523.0879152726119,Projected expression
151672,donor_2,matched_presence,nonzero_features,0.379499818795485,0.5496513213199126,0.97605742846676,0.9785696136153224,334.68621399176953,154.56138590085192,Matched presence
151672,donor_2,total_depth,nonzero_features,0.3570055719875378,0.5266622159914047,0.9741266431139128,0.978812403560094,223.8099279835391,108.8054179038027,Total depth
151672,donor_2,ref_depth,nonzero_features,0.332162566433155,0.5050125400785551,0.9649436435580024,0.968986072946554,81.52417695473251,41.389528106443024,REF depth
